first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Bernd,Leno,GK,10,0,0,360,9,0.0,85.0,0.0,0,8.5,1,0.0,2.5
Rúnar Alex,Rúnarsson,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Willian,Borges Da Silva,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Pierre-Emerick,Aubameyang,FWD,44,4,1,1036,16,132.4,217.6,582.0,7,92.9,6,0.26,3.82
Cédric,Soares,DEF,48,1,1,1481,27,306.5,246.0,76.0,3,63.0,3,0.18,2.92
Alexandre,Lacazette,FWD,90,4,8,1773,17,385.7,376.6,724.0,3,148.3,10,0.0,4.57
Granit,Xhaka,MID,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32
Pablo,Marí,DEF,1,0,0,180,4,12.3,55.4,11.0,0,7.9,0,0.0,0.0
Héctor,Bellerín,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Sead,Kolasinac,DEF,0,0,0,91,5,0.2,4.2,0.0,0,0.4,0,0.0,0.0
Mohamed Naser,El Sayed Elneny,MID,27,0,2,801,17,124.5,147.8,40.0,0,31.3,0,0.11,3.03
Ainsley,Maitland-Niles,MID,12,0,0,263,4,41.3,42.6,9.0,0,9.3,2,0.0,0.0
Rob,Holding,DEF,29,1,0,840,16,6.9,242.4,49.0,2,29.9,2,0.32,3.11
Thomas,Partey,MID,71,2,2,2027,25,275.5,359.6,394.0,4,103.0,10,0.27,3.15
Kieran,Tierney,DEF,106,1,3,1916,21,335.9,365.2,198.0,11,90.1,11,0.0,4.98
Nicolas,Pépé,MID,45,1,4,681,9,204.8,127.4,391.0,1,72.0,2,0.0,5.95
Lucas,Torreira,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Edward,Nketiah,FWD,55,5,1,823,18,138.8,216.0,339.0,6,69.2,0,0.33,6.01
Emile,Smith Rowe,MID,125,10,2,1909,28,453.3,555.8,576.0,9,158.4,8,0.05,5.89
Bukayo,Saka,MID,179,11,9,2978,39,942.5,774.2,1404.0,18,311.8,13,0.18,5.41
Gabriel,Magalhães,DEF,146,5,0,3063,38,129.3,703.0,453.0,16,128.4,13,0.21,4.29
