first_name,second_name,element_type,year,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,gw,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90,total_points
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,1,1,2,0,0,90,0,15.0,16.6,2.0,0,3.4,1,0.0,0.0,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,2,1,14,1,1,180,2,40.5,71.4,30.0,2,14.2,1,0.0,0.0,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,3,1,20,1,2,267,2,74.5,97.2,36.0,2,20.8,2,0.0,0.0,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,4,1,22,1,2,357,3,99.5,105.4,48.0,2,25.3,2,0.25,5.55,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,5,1,24,1,2,447,4,124.5,118.0,56.0,2,29.9,2,0.2,4.83,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,6,1,26,1,2,537,7,139.4,133.2,102.0,2,37.5,2,0.17,4.36,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,8,1,31,1,3,627,7,175.6,158.2,105.0,2,43.9,3,0.29,4.45,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,9,1,40,2,3,717,8,195.8,194.4,136.0,4,52.6,3,0.25,5.02,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,10,1,42,2,3,807,10,203.1,211.0,154.0,4,56.8,3,0.22,4.68,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,11,1,45,2,3,897,10,205.9,219.6,156.0,4,58.1,4,0.2,4.52,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,13,1,55,3,3,987,11,247.5,268.6,190.0,7,70.6,4,0.18,5.02,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,14,1,58,3,3,1061,11,273.7,271.4,206.0,7,75.1,5,0.17,4.92,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,15,1,61,3,3,1151,11,278.3,291.8,228.0,7,79.8,6,0.16,4.77,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,16,1,62,3,3,1166,11,278.5,291.8,228.0,7,79.8,6,0.15,4.79,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,17,1,67,3,4,1256,12,310.4,323.6,251.0,7,88.5,6,0.14,4.8,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,18,1,69,3,4,1346,14,322.9,338.4,251.0,7,91.2,6,0.13,4.61,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,19,1,71,3,4,1436,14,361.2,346.6,286.0,7,99.4,7,0.19,4.45,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,20,1,74,3,4,1526,14,380.3,370.0,289.0,7,104.0,8,0.18,4.36,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,21,1,79,3,5,1616,16,430.4,405.2,299.0,7,113.5,8,0.17,4.4,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,22,1,81,3,5,1706,17,457.5,409.8,312.0,7,118.0,8,0.16,4.27,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,23,2,85,3,5,1868,21,496.9,430.2,328.0,7,125.6,8,0.14,4.1,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,24,1,87,3,5,1946,23,500.7,434.4,336.0,7,127.2,8,0.14,4.02,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,25,2,93,3,5,2107,23,524.3,448.6,340.0,7,131.4,10,0.13,3.97,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,26,1,94,3,5,2113,23,524.6,449.2,342.0,7,131.7,10,0.13,4.0,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,27,1,97,3,5,2203,23,540.3,461.2,365.0,7,136.8,11,0.12,3.96,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,28,1,106,4,5,2293,24,557.0,504.6,398.0,9,146.1,11,0.12,4.16,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,29,1,115,5,5,2378,25,577.1,546.8,417.0,11,154.2,11,0.11,4.35,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,30,1,116,5,5,2468,27,579.3,553.4,424.0,11,155.8,11,0.15,4.23,153
Granit,Xhaka,MID,2022-23,60,1,2,2327,38,489.6,382.2,253.0,3,112.6,6,0.43,2.32,True,31,1,118,5,5,2558,29,597.7,564.4,426.0,11,158.9,11,0.14,4.15,153
