first_name,second_name,element_type,total_points,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,bonus,ict_index,clean_sheets,cards_per_90,points_per_90
Granit,Xhaka,MID,153,7,8,2992,35,673.3,647.0,498.0,15,182.0,13,0.12,4.6
Mohamed,Elneny,MID,6,0,0,111,2,5.4,4.6,0.0,0,1.1,0,0.0,0.0
Rob,Holding,DEF,21,1,0,562,13,10.3,152.0,54.0,0,21.6,0,0.0,3.36
Thomas,Partey,MID,86,3,0,2480,28,439.6,513.2,240.0,6,119.5,11,0.18,3.12
Martin,Ødegaard,MID,212,15,8,3132,38,1100.4,960.0,920.0,30,298.3,13,0.11,6.09
Kieran,Tierney,DEF,37,0,1,774,10,85.5,144.0,67.0,0,29.9,1,0.0,4.3
Nicolas,Pépé,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Benjamin,White,DEF,156,2,5,3054,35,491.2,649.0,159.0,12,130.0,15,0.15,4.6
Eddie,Nketiah,FWD,63,4,2,1071,16,128.2,213.4,598.0,5,93.1,2,0.25,5.29
Emile,Smith Rowe,MID,18,0,2,161,5,64.3,36.6,39.0,0,13.8,0,0.0,0.0
Bukayo,Saka,MID,202,14,12,3183,42,1091.8,972.2,1164.0,19,322.8,12,0.17,5.71
Takehiro,Tomiyasu,DEF,32,0,1,651,11,86.6,137.0,55.0,0,27.7,2,0.28,4.42
Aaron,Ramsdale,GK,143,0,0,3420,43,0.0,761.4,0.0,9,76.2,14,0.03,3.76
Gabriel,dos Santos Magalhães,DEF,146,3,0,3409,43,129.7,733.8,401.0,15,126.5,14,0.13,3.85
Nuno,Varela Tavares,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Gabriel,Martinelli Silva,MID,198,15,9,2789,33,838.1,844.2,1300.0,18,298.1,14,0.1,6.39
Pablo,Marí Villar,DEF,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Lucas,Torreira di Pascua,MID,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Reiss,Nelson,MID,42,3,3,202,3,99.2,169.8,155.0,5,42.4,1,0.0,0.0
Matt,Turner,GK,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Fábio,Ferreira Vieira,MID,40,1,2,500,5,180.1,115.2,123.0,2,41.4,2,0.0,7.2
