first_name,second_name,element_type,year,total_points,gw,prev_total_points,prev_goals_scored,prev_assists,prev_minutes,prev_goals_conceded,prev_creativity,prev_influence,prev_threat,prev_bonus,prev_ict_index,prev_clean_sheets,prev_cards_per_90,prev_points_per_90,prev_season_played,matches,current_total_points,current_goals_scored,current_assists,current_minutes,current_goals_conceded,current_creativity,current_influence,current_threat,current_bonus,current_ict_index,current_clean_sheets,current_cards_per_90,current_points_per_90
Bernd,Leno,GK,2021-22,10,1,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,1,0,0,90,2,0.0,11.8,0.0,0,1.2,0,0.0,0.0
Bernd,Leno,GK,2021-22,10,2,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,3,0,0,180,4,0.0,36.0,0.0,0,3.6,0,0.0,0.0
Bernd,Leno,GK,2021-22,10,3,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,4,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,5,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,6,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,7,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,8,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,9,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,10,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
Bernd,Leno,GK,2021-22,10,11,131.0,0.0,0.0,3131.0,37.0,0.0,702.2,2.0,11.0,70.3,11.0,0.03,3.77,True,1,4,0,0,270,9,0.0,79.0,0.0,0,7.9,0,0.0,1.33
